seed,N,train_corr,test_corr,train_mse,test_mse,time_sec
42,2,0.4439389558298832,0.4267762629396157,86.20975955961254,89.71481565831776,3.8701443672180176
42,3,0.636287615412421,0.6374010346280689,63.89774856617296,65.09062334960721,6.508641958236694
42,4,0.639224581470657,0.6091661017148111,63.493813533645685,68.89724064426446,7.577271938323975
42,5,0.6750121978762664,0.6714162605945377,58.44417448510837,60.19605227789616,8.392128944396973
42,6,0.4201252448262538,0.41523551625148886,88.41348054670401,90.66066271807028,9.347885131835938
42,7,0.479261444823216,0.45942418558878173,82.70306509732191,86.51349085626708,9.758336067199707
42,8,0.7704768342569421,0.7790900700546539,43.63140081151495,43.05174472715219,5.820510625839233
42,9,0.657843311046566,0.6043998563009227,60.90154045640702,70.0040444173648,5.828150272369385
42,10,0.7429310424370356,0.7490338851569558,48.10456941949136,48.20779340439514,9.53304672241211
42,15,0.8618895368071833,0.8588435708349055,27.608093166128153,28.780403564872117,13.151499509811401
42,20,0.8972406442834016,0.8945798186927489,20.93147727375451,21.89918680192744,11.916986227035522
42,25,0.9110214060736993,0.9024868811427822,18.2560559686762,20.328201342780254,11.246620416641235
42,30,0.9420457653947693,0.937606960521685,12.083715031046406,13.28652120140931,10.718501329421997
42,35,0.9682160272726493,0.9662466067274116,6.7164032991236935,7.269021820832409,11.266367197036743
42,40,0.9626824595633894,0.957079780952675,7.863554950972995,9.241142431171774,12.05988073348999
42,45,0.9706110413016441,0.9655369933295351,6.217859986266984,7.426653625679467,12.918179750442505
42,50,0.9657700319791322,0.9597159999011649,7.224288247920175,8.660073198159914,12.778326511383057
42,55,0.9720295281456923,0.966341617589668,5.922008892941787,7.2651448478951925,11.891446590423584
42,60,0.9720748524373382,0.9657736294512309,5.91254928937091,7.379310432938978,12.647882461547852
42,65,0.9778106106495028,0.973196612428641,4.711789460940195,5.804577658707933,10.046172857284546
42,70,0.9788545502780963,0.9715512506695094,4.492485044038005,6.143586611161226,12.005906581878662
42,75,0.9776294263818448,0.9707829212411629,4.7498277440628875,6.320855308013053,13.765468835830688
42,80,0.9790506328366255,0.9736241799234688,4.4512669087867875,5.708423229670809,12.89750051498413
42,85,0.9781862742482562,0.9705772426581509,4.632899269658965,6.365488870094012,13.389626026153564
42,90,0.9801058256276216,0.9729150094815219,4.229316176345481,5.863276798831395,13.134808540344238
42,95,0.9805261041341464,0.9733449386885322,4.140847608572913,5.770353441526022,13.541495084762573
42,100,0.981040486453255,0.9737227435745356,4.032518504540722,5.687719127625418,13.133784532546997
42,105,0.9815891662219474,0.9711526835105815,3.9169037564524025,6.24372553234066,13.667367458343506
42,110,0.9818734963023333,0.9723936063105827,3.856966363799619,5.975387235768661,11.985490798950195
42,115,0.9821139471284763,0.9722011380751846,3.806264383973504,6.026583065369453,12.944354057312012
42,120,0.982355636461689,0.9715632955615785,3.75528921358624,6.158976924119157,13.03651738166809
42,125,0.9824903603501232,0.9721860768675076,3.7268688982269587,6.019589817373949,14.196986675262451
42,130,0.9827759403900411,0.9700383096662247,3.666612414026902,6.473681928076374,14.834859371185303
42,135,0.9828000097332648,0.9700429907363497,3.661532912347775,6.484643421917417,13.589768171310425
42,140,0.983853993531989,0.9704004122151225,3.4389879228755604,6.4028514856979735,14.416140794754028
42,145,0.9831920830897776,0.9715382913105648,3.578775877353591,6.154433449521448,14.736152410507202
42,150,0.9834512259998133,0.967694440791333,3.5240590275979184,6.988985971822834,14.873873233795166
46,2,0.6803424087456607,0.6847027290569043,57.583740612171034,58.6370172099099,4.543970584869385
46,3,0.46294556735068093,0.49617637116185587,84.26830013417279,83.22231499142161,4.123818874359131
46,4,0.6442545383776648,0.6303925410054302,62.706921668516706,66.40915240435702,8.402254581451416
46,5,0.813269337433767,0.8216424803181287,36.30016644315082,35.82406068411982,10.379318714141846
46,6,0.6826220164161731,0.6793699536352478,57.24959279204465,59.34258864282842,9.719418048858643
46,7,0.7276429446418208,0.7300182643071733,50.44287903605914,51.52148469542784,9.419224500656128
46,8,0.6343942840142773,0.6088288615265949,64.0600207263488,69.4703566473781,4.801653623580933
46,9,0.8132501015132099,0.8061056135009079,36.30153417329904,38.82398175721858,6.992448329925537
46,10,0.8445927466623786,0.842092155801591,30.731144306579857,32.06710023806432,12.32354998588562
46,15,0.8883624312899783,0.881635362459506,22.599698882414124,24.56474860939614,11.278748989105225
46,20,0.8497362720368629,0.8288293548855147,29.797008673129845,34.61150063196202,9.931433200836182
46,25,0.9226404868341372,0.9183079276177186,15.944797717696098,17.274736294931934,10.53323769569397
46,30,0.9484046570588446,0.941244131826493,10.77696549574057,12.596928381258982,10.518062591552734
46,35,0.9431889349857858,0.935822714775111,11.834633490834289,13.711668500435168,12.124104261398315
46,40,0.9651686270165072,0.9598316016165611,7.33799358137425,8.682605583421532,10.96296238899231
46,45,0.9677558760560327,0.9624746953412227,6.80187484568125,8.124869970742013,12.792229175567627
46,50,0.9764851718917651,0.971601219418318,4.982441534951326,6.17107505600173,12.09962248802185
46,55,0.9708884875520419,0.9653555754823424,6.150829024263009,7.508823833629749,13.256620168685913
46,60,0.9702345418377212,0.9608758453436864,6.286911182612795,8.456281901703553,11.883413791656494
46,65,0.9763849784153114,0.9709617383383699,5.003417281015422,6.320812425242355,12.735877990722656
46,70,0.9772973118346079,0.969056010892382,4.812337554125794,6.734758560605915,13.213226795196533
46,75,0.9794502630819308,0.971213528571878,4.360714801118565,6.270622306205141,13.226789951324463
46,80,0.9802481771479574,0.9739176265668411,4.193085053780198,5.68865254586228,13.275380849838257
46,85,0.9805388412832752,0.9732496903920679,4.1319864257839285,5.834481405271055,12.562534093856812
46,90,0.9803638118215767,0.9729223318215376,4.16878013255342,5.906378215473557,13.210186004638672
46,95,0.9813125332002912,0.9738616518129104,3.9692668451593742,5.701556438034781,11.935973405838013
46,100,0.9813821748426681,0.9748508756137746,3.9546136346644722,5.489502841322813,12.965454816818237
46,105,0.981905254210589,0.9716992241392574,3.844520644526267,6.170614991341972,13.140173435211182
46,110,0.9819685392673914,0.9720004522068193,3.8311970822613177,6.110122266809042,13.388988018035889
46,115,0.9819862034386088,0.9717329966944673,3.827478077069531,6.158677675038968,13.72539734840393
46,120,0.9819170385635415,0.9702009494030284,3.8420397371004658,6.499780602324529,13.808445453643799
46,125,0.9820724703594088,0.9710240579799667,3.8093142478240027,6.318695077705841,13.697871208190918
46,130,0.9832531990636312,0.9700671365946446,3.5605480414585373,6.5381621348625005,14.363845348358154
46,135,0.983742168579356,0.9711939003033889,3.4574400914402394,6.28121237202973,13.980733394622803
46,140,0.9835770925919262,0.9693591443801809,3.4922550329633473,6.678798932285874,14.11881685256958
46,145,0.9840413887293598,0.9708779543065791,3.3943189579950515,6.363794032591306,13.782695293426514
46,150,0.9842685317798308,0.9678726521022827,3.346389775576703,7.01678122835033,14.783675193786621
2,2,0.39715881699028655,0.42483309119922896,88.94577084881634,95.67035068119988,4.594581604003906
2,3,0.4912927338406939,0.4755905445856119,80.11468865655772,90.24787764495433,10.836859226226807
2,4,0.6594324641435697,0.6538980565893513,59.68282283931938,66.7593747981723,8.423920392990112
2,5,0.7567854199927746,0.7422004947574599,45.12163024538234,52.40011980295472,9.609061002731323
2,6,0.6942279640815315,0.7216894599148549,54.709556115543215,55.99546348904189,6.763670444488525
2,7,0.7121343948825349,0.7260809362458966,52.04849537424341,55.44340324779907,10.208880186080933
2,8,0.7606134335274018,0.7639838631764384,44.51028692222402,48.57327972532924,5.318877458572388
2,9,0.8747644590892432,0.885817910755292,24.79434981832092,25.134175416227738,8.570421695709229
2,10,0.7628925634106383,0.7585925848347521,44.141773203458236,49.52429507973472,8.246155977249146
2,15,0.8301517303283866,0.8379337476509333,32.826506923285464,34.76313948584801,8.703443765640259
2,20,0.8880114758292298,0.8828652289358666,22.328249067831052,25.734542414184194,11.191295862197876
2,25,0.9102970102440522,0.9044870004535679,18.096127153529093,21.213603491242853,11.813220739364624
2,30,0.948558256550124,0.9410152294407654,10.585357402738525,13.348129369617936,10.535583257675171
2,35,0.9431405880205335,0.9395843920599836,11.66764159268112,13.683229308122211,11.83122181892395
2,40,0.957916545537968,0.9527610786360814,8.70125794617669,10.76234724530651,11.89083218574524
2,45,0.9645832086702344,0.9576091048080865,7.34778177680138,9.677369562127854,12.425652980804443
2,50,0.9735640138805131,0.9696518857099303,5.509639514493676,6.975072668203479,12.37229299545288
2,55,0.9743963268923397,0.9695311197391264,5.338423848597577,6.999461296966859,13.511608362197876
2,60,0.9782933744261351,0.9736364961970166,4.5348137505630435,6.069481924827307,11.524182558059692
2,65,0.9771778143457088,0.9716319790459718,4.765181091872012,6.5273943442025395,12.88275933265686
2,70,0.9778344375458534,0.9722955678652223,4.629617914934987,6.37348608892196,12.86331558227539
2,75,0.9784851471130707,0.970613633185432,4.495185558594446,6.755572741209729,12.86914873123169
2,80,0.9790098960954318,0.9717433401477167,4.386710739467168,6.50305536213958,13.11948823928833
2,85,0.9805011021578564,0.973600263306173,4.078135105291005,6.077439951059314,13.323055028915405
2,90,0.9801842512453579,0.9721153329520567,4.1437403381810105,6.418441949258121,13.096398830413818
2,95,0.9808193654592559,0.9731588329227192,4.012215905357956,6.176456836721197,12.491014003753662
2,100,0.9803421448735075,0.9702095216225218,4.111050412301836,6.84788303214573,12.989539384841919
2,105,0.9810274979422346,0.9719852609519488,3.969095560884691,6.443818163086949,13.799147367477417
2,110,0.9820391941481381,0.9699679853654127,3.759365039944796,6.90789800626392,13.137445211410522
2,115,0.9821886249646898,0.9725091365591472,3.7283691040431224,6.332168804003517,12.149352312088013
2,120,0.9824232339203456,0.9697682580854147,3.6796947881342588,6.95628584451521,13.105803966522217
2,125,0.9832544939239634,0.9715111808078508,3.5071405329495544,6.559314368751531,12.863190650939941
2,130,0.9828778442177312,0.9715934798192256,3.5853441269155217,6.56184089816981,14.551522016525269
2,135,0.9833699227633704,0.9711007260973017,3.4831681820634897,6.655107756621964,13.657937049865723
2,140,0.9826901449516967,0.9699086871769518,3.624304975788927,6.922336858075684,15.055957317352295
2,145,0.9840852777158755,0.9697761633465165,3.334539306357655,6.965175844762019,14.36343502998352
2,150,0.9836428258315935,0.9663493140566026,3.426479994597038,7.757772348897475,15.580714464187622
10,2,0.5869267182838515,0.6190777416271619,68.96191706261276,73.3504594361689,3.56261944770813
10,3,0.4186684200850964,0.4019287261336461,86.72531443567124,99.40600704798058,4.8424072265625
10,4,0.5924688499823025,0.6137832105763417,68.23817527327871,73.79791114937296,11.126513242721558
10,5,0.5432337763387804,0.5952764212176809,74.11898683241093,76.84496242071425,12.480090618133545
10,6,0.5994354791235489,0.6292569970239223,67.36878977796938,71.66690076709853,11.277355909347534
10,7,0.7219228522504272,0.7429290613524429,50.34751332691706,53.14154517801266,11.55033254623413
10,8,0.8024706013596281,0.8194174128520733,37.43849456444308,39.181039846777864,6.011962413787842
10,9,0.7903925507076834,0.800714525104345,39.45938609375544,42.645274764277865,12.150845289230347
10,10,0.7155283591284209,0.745958934046319,51.31361083536919,52.619723873138945,8.454262733459473
10,15,0.886225394783219,0.888475370096721,22.56496384950409,24.938958190399738,10.360561847686768
10,20,0.887507505689358,0.885455160637849,22.325820153451833,25.66329449452925,13.064637422561646
10,25,0.9148632464144875,0.9099373277181768,17.14156107651192,20.39487639188389,11.881985425949097
10,30,0.9340031234048356,0.9301851492050749,13.420702539097032,15.955917416908232,11.902361154556274
10,35,0.9588717981462621,0.9549327932164867,8.471110812563223,10.437648855325303,12.286965608596802
10,40,0.9630525463481374,0.9580460580009638,7.626251500889392,9.739171845980819,11.649971008300781
10,45,0.9688592271234041,0.964315481205789,6.446718304037943,8.301208806966619,13.216324806213379
10,50,0.9704108491409202,0.9673528978486159,6.130331013747923,7.617420771551142,12.23307204246521
10,55,0.9755676058246463,0.9715981118876389,5.075193078649558,6.6276380533277655,12.444836616516113
10,60,0.9749128983782607,0.9692687996337326,5.209464487625641,7.1706578261466865,13.132687330245972
10,65,0.9776293526895066,0.9709507332445619,4.651768335861417,6.777549151380807,12.377295970916748
10,70,0.9786770557538285,0.9740783734353928,4.436257183771969,6.06393875397658,12.898276567459106
10,75,0.9786037938676496,0.9730627190550873,4.451334589084806,6.290893273563438,12.99944806098938
10,80,0.9790410022485341,0.9726533347332568,4.361339850984968,6.393444608602111,13.12179946899414
10,85,0.9801476592176466,0.9739884920881545,4.133366666521122,6.084029191004015,12.061456203460693
10,90,0.9802512478041577,0.9737900268184627,4.112014084900638,6.128220774867049,13.111902475357056
10,95,0.9802967265889337,0.9729369422910505,4.102638807467937,6.327352729119462,14.0676748752594
10,100,0.9807323176586875,0.9724035785333169,4.012821958994344,6.458069280684029,13.865692377090454
10,105,0.9813197907249855,0.9713913070912847,3.8916246228927016,6.693458384198848,13.540855884552002
10,110,0.9816068351453342,0.9722075191450897,3.8323801791587333,6.4927349849415945,12.905505418777466
10,115,0.9818800598770604,0.9750735902190294,3.7759719472477506,5.832966503286951,13.348378658294678
10,120,0.9826797478755305,0.9716998569619099,3.610783198307082,6.619829869790517,13.402965068817139
10,125,0.9829124840887895,0.9716543994672413,3.562682423480929,6.644077654959058,14.198304414749146
10,130,0.9832925991147551,0.974108856534315,3.4840975870401176,6.061266693506799,13.738394737243652
10,135,0.9827334184864334,0.9713877400321453,3.5996919292659912,6.713512683309928,13.266849517822266
10,140,0.9835113522969509,0.9722666096676985,3.4388588923382546,6.492125521473922,14.610318183898926
10,145,0.9834541213203016,0.9732284984574626,3.4506953812194965,6.278479714970596,14.070733070373535
10,150,0.9837085089561897,0.9721277313898344,3.3980778571968817,6.530054500300817,13.806716203689575
60,2,0.3549114164752918,0.34382060484141685,94.64369425474216,93.34332428259795,12.349081754684448
60,3,0.5480425691539409,0.5263991927632616,75.76031395450413,76.92106110647798,7.0851593017578125
60,4,0.581754916611774,0.5596178743108662,71.64020397908565,72.87106631502505,8.5662682056427
60,5,0.4767402090754147,0.4456569819256644,83.67210563978922,85.13283000927689,9.832480669021606
60,6,0.7392886931896407,0.7656560005731333,49.101091542684344,43.80529340559726,5.829412221908569
60,7,0.7306373509771289,0.7261943876124755,50.48079336669334,50.02482919687388,8.801328897476196
60,8,0.7511180471423012,0.74962066479764,47.192368901873685,46.38489194673109,8.303117275238037
60,9,0.7455967152738563,0.7207527542697492,48.08690657469633,51.200116954160976,7.939657211303711
60,10,0.7805617813003909,0.7784498979649431,42.30858116946545,41.70060260521507,10.237406492233276
60,15,0.902406822281119,0.895655523048895,20.103978857989187,20.93968160932914,10.961205005645752
60,20,0.9042607869784038,0.9003672691170201,19.74130113788863,20.05156749364925,11.319750785827637
60,25,0.9250972393067665,0.921175264619245,15.613847075217103,16.03761400136966,11.74739670753479
60,30,0.9545492011976116,0.9429381867316826,9.6193889446667,11.739165427569295,11.003427982330322
60,35,0.9571393827236487,0.9473330908135082,9.083214828722138,10.86557957800605,11.213332653045654
60,40,0.9646659344943456,0.9548384428880539,7.516946524341553,9.36234611662155,11.624839067459106
60,45,0.9705253395764999,0.9637737506776091,6.28912165128738,7.541506266619589,12.480272769927979
60,50,0.9704613594516289,0.9633227370390045,6.302568937569879,7.625676861047666,11.770591735839844
60,55,0.9751961527295933,0.9687086145195263,5.305037325883964,6.520010491328823,12.488006591796875
60,60,0.9738765867320051,0.965397084456687,5.583532595630458,7.2048487169638005,12.709947109222412
60,65,0.978672341270564,0.9708808997077776,4.569579163474913,6.075628442113464,12.49480414390564
60,70,0.9774583275002305,0.9681885218270929,4.826725629816939,6.6351967268989736,9.812416553497314
60,75,0.97748415839379,0.965338317169181,4.821257569551126,7.213729159759705,13.80838394165039
60,80,0.9796824958349746,0.9698125137268874,4.355369912270527,6.295645764662351,13.224084377288818
60,85,0.9806792285818329,0.9698473954353736,4.143790076913881,6.297051300084186,12.094078540802002
60,90,0.9802421992403905,0.9688360697648899,4.236586462819097,6.497775047388488,12.804219722747803
60,95,0.9808559141541185,0.9710898739872321,4.106262212251541,6.039608577314691,12.29567289352417
60,100,0.9816061484632069,0.9709132508728913,3.9468366827685935,6.076304468703409,12.202516078948975
60,105,0.981536976313033,0.9708617561881454,3.961540924552134,6.087157223008664,13.615890264511108
60,110,0.9823638772942918,0.9684973678372533,3.785695032387406,6.5694880264879325,12.894646167755127
60,115,0.9821970752409032,0.9701433068464481,3.8211784857203472,6.2418966582578745,12.979701519012451
60,120,0.9828207105105203,0.9707081333437393,3.6884829483539185,6.1204047812214135,13.057740449905396
60,125,0.9834206019396443,0.9684326149881668,3.560760163870528,6.58560517918942,13.35326862335205
60,130,0.9833648575679568,0.9683150932109947,3.5726319231262975,6.622672328255711,13.580423831939697
60,135,0.983469880262043,0.9690908236665001,3.5502648425560386,6.4589528389500135,13.651742696762085
60,140,0.9832004228366212,0.9679312174518602,3.6076475052632606,6.682250869928275,15.319721698760986
60,145,0.9839509284237792,0.9665030618826383,3.447783436939606,7.005460857908352,13.764433860778809
60,150,0.9842468956125385,0.969335477657842,3.384706351127791,6.407815535832663,13.977354526519775
80,2,0.47579259031956345,0.42318257778113055,83.63619672790061,87.73135532966299,5.575322389602661
80,3,0.6304522400332748,0.6156878363104681,65.13517681033387,66.23115827732143,7.110154867172241
80,4,0.46612923229265923,0.44030450943801136,84.61564821298118,86.08739585693246,7.932519912719727
80,5,0.5985502528286455,0.5411012794231578,69.37735624847326,75.97414466837981,5.1949989795684814
80,6,0.7415022900598229,0.7139587867961945,48.667464815506094,52.94020786700949,5.225258827209473
80,7,0.7711290511908468,0.7716036286079121,43.82249709549913,43.176998853133966,12.0306556224823
80,8,0.7809532763898712,0.7709170677753961,42.171527585356024,43.240948857511626,6.920307397842407
80,9,0.6537225799006614,0.6027748611402612,61.90364743895992,68.32800154569362,10.743136644363403
80,10,0.7627009127460757,0.7521965798303148,45.21735511857204,46.29079134166309,11.464668273925781
80,15,0.8896129927363745,0.8804967791327853,22.548637524335177,23.97159138474102,12.712551832199097
80,20,0.8992119197832829,0.8801433660237827,20.692474685581658,24.083891454609564,12.650511026382446
80,25,0.9019517774781256,0.8885197291021794,20.158984078851258,22.452280578057984,12.501256942749023
80,30,0.9415622887768644,0.9327048544993366,12.265182917677182,13.884274023331628,8.145766019821167
80,35,0.9419732636570171,0.9348118389424603,12.181506942903962,13.461165239252352,11.872756719589233
80,40,0.9596361127565357,0.9535064524823349,8.55062431009233,9.67959103077528,11.760875701904297
80,45,0.9664219823325927,0.9603518303476891,7.137747577980454,8.285405694144943,11.781777620315552
80,50,0.9746412909618379,0.9687312123283822,5.413083998457658,6.569439251600404,11.376494884490967
80,55,0.9728224745085909,0.9699646355495578,5.795985947669596,6.311045642385115,12.661971092224121
80,60,0.9731387902855616,0.9666656677020677,5.729445706793231,6.998688225436987,13.145346879959106
80,65,0.9760858595039346,0.9706852514259556,5.10845995699499,6.158628593025678,13.383633613586426
80,70,0.9784865077230929,0.9737947671764765,4.601224628277613,5.514011224186074,12.12729001045227
80,75,0.9776550414001968,0.9704670921868748,4.777047196585536,6.203518112572693,13.173580646514893
80,80,0.9789895511627267,0.9730708779290471,4.494777923728332,5.673305671706303,13.072886943817139
80,85,0.9794001534958059,0.9722770583842373,4.407852208202766,5.830264878199002,12.777221918106079
80,90,0.980505142148038,0.9718537646868534,4.173740690201371,5.926513470415239,13.02247953414917
80,95,0.9809865979994614,0.9720514455241023,4.071653177871884,5.875790069801871,13.06986141204834
80,100,0.9811602162678,0.9735701202283129,4.034827007382595,5.561566558817436,13.227421760559082
80,105,0.9813407140093463,0.9722479604763202,3.996534741520918,5.84548973261376,13.575671434402466
80,110,0.9813722646736636,0.9707844265123741,3.9898406449561525,6.148369820106648,13.284183979034424
80,115,0.981547244340955,0.9701624234956899,3.9527110465575817,6.28230152753676,13.681723833084106
80,120,0.9819886564231353,0.9711234641320284,3.8590169293739414,6.076394990206089,12.303657054901123
80,125,0.9828961578587034,0.9708785153944548,3.666258287148562,6.136966044275584,13.506552457809448
80,130,0.9826337490332839,0.972201777268709,3.7220137977444825,5.8600460655278725,14.040458917617798
80,135,0.9829837591312381,0.9714993032114112,3.647641827098061,6.017716082313736,14.742179155349731
80,140,0.9832700558102963,0.970909090663176,3.5867883633209474,6.134581977280912,14.6420316696167
80,145,0.9836074614386985,0.9722375971518761,3.5150487564871717,5.8547168176495195,13.814776182174683
80,150,0.9837831403316875,0.9708784159808523,3.4776859344995237,6.139602504794794,14.955463886260986
150,2,0.7726246399714082,0.7552241769930337,43.93911073363408,44.22233306579161,3.401681661605835
150,3,0.5272521809859287,0.5061336485392348,78.71294929768399,76.78631699125633,6.339212656021118
150,4,0.6017871652087081,0.5664588065025693,69.53423364352612,70.46287856164578,12.221195697784424
150,5,0.6042983935603895,0.559066911545487,69.20395539552976,71.11311941229535,8.33066463470459
150,6,0.5621220962166222,0.5358377884658538,74.56716292832229,73.54530895896812,11.440685272216797
150,7,0.8239704821799425,0.8000959588648577,35.00094173130523,37.079652547030555,8.218192100524902
150,8,0.8138972416083972,0.7891014290459577,36.79949288243886,38.93005378751269,9.949720621109009
150,9,0.660526479518506,0.6249491229039215,61.451331555981255,63.36419099893677,10.713073492050171
150,10,0.7721764492241776,0.765679707977213,44.013102216877996,42.626672745310124,12.024633169174194
150,15,0.8371835068549132,0.8203172441339035,32.60823766010205,33.67063860972384,11.568457126617432
150,20,0.9175927141529379,0.9014392715031472,17.226556092371116,19.296058409371536,9.790509223937988
150,25,0.9285883237898583,0.9073156699639229,15.013620614744092,18.19992103447465,9.571746110916138
150,30,0.9588358741901272,0.9519105643045989,8.790088751845744,9.660711006409274,10.781354188919067
150,35,0.9698926809757296,0.9642117481645376,6.46533544026765,7.240061608905174,10.043596744537354
150,40,0.9714487520430362,0.9651286715655698,6.136022245017144,7.052577851647017,11.706738233566284
150,45,0.9614666369492806,0.9481336043051254,8.239373140298623,10.399011587362015,13.41504430770874
150,50,0.968742100688966,0.95777348863497,6.708493165191056,8.508314691196516,12.682034254074097
150,55,0.9765903454539264,0.97005099756306,5.044149951821001,6.076683277406313,12.945160388946533
150,60,0.9774555888665764,0.9700713049203706,4.859839903899326,6.06798841240273,12.231421947479248
150,65,0.9706473832021183,0.9599965881689975,6.30568205914453,8.072205498689657,13.132716417312622
150,70,0.9784464537423014,0.9704296480620039,4.648569696264564,5.996996746610492,12.269375562667847
150,75,0.9803085787599006,0.9717397824804035,4.2509526517038045,5.7355797906894095,12.161789417266846
150,80,0.9779329536016417,0.9674447111827591,4.758083971959198,6.592656410449327,12.744789361953735
150,85,0.9804947729578641,0.9709476360852252,4.21115314989622,5.892866828497153,12.99114441871643
150,90,0.9805113837402025,0.9713471618036663,4.207602459385065,5.814561152694079,12.06044626235962
150,95,0.9812106870018484,0.971918502985345,4.05805457910306,5.698682765288765,13.646366357803345
150,100,0.9813635499988401,0.9715669547585205,4.025350174730142,5.768911061806463,13.201138496398926
150,105,0.981691809476123,0.9703957355041823,3.955103613393898,6.002905385114864,12.830997467041016
150,110,0.9817268053291841,0.9727320476394992,3.9476130322300804,5.535701699849994,13.686676263809204
150,115,0.9821697047252183,0.9702274217835308,3.8527930308474083,6.044725684437534,13.162137508392334
150,120,0.9827811681211833,0.9707779162955557,3.721814999270818,5.931207958705008,13.358713865280151
150,125,0.9830048939976135,0.9703265111995607,3.673871694520966,6.0168721590631415,13.715280532836914
150,130,0.9831377778921083,0.9691173235699517,3.6453900707155222,6.261455216952254,14.16729998588562
150,135,0.983324426599197,0.9708292964650543,3.60537836128657,5.9209091685534965,14.163158416748047
150,140,0.9835468098015705,0.9685249009879999,3.5576964719463726,6.377543031042836,14.068835735321045
150,145,0.9838283404297107,0.9676048439404312,3.4973169694206003,6.561473804182665,13.778386116027832
150,150,0.9845236519875845,0.967664041187174,3.3481205319299328,6.5713164308294,14.23202657699585
