N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
2,0.1537353100868197,0.7543132430704118,0.1553197035857267,0.750995992797692,0.0481611055297417,46
3,0.1524588098594829,0.7566810317383732,0.1545239364504866,0.7524845461333934,0.0531560033501713,46
4,0.1475478191340943,0.7657252876796451,0.150136021066957,0.7606451697275264,0.05647552222883,46
5,0.1401234666441619,0.7791980685133181,0.1426470288679478,0.7743430337143428,0.0583237836529136,46
6,0.1423924151829744,0.7751053540061232,0.1449272909232965,0.7701926286203304,0.0572920051139375,46
7,0.1375281583308314,0.7838532160241798,0.1405838631021667,0.7780971873721192,0.0576337087752328,46
8,0.1346875783658722,0.7889167541722715,0.1377286987193161,0.7832188425891777,0.058887138855657,46
9,0.1328100719822226,0.7922457982665085,0.1357090702675761,0.7868236716549515,0.061296797177819,46
10,0.1263104472756367,0.8036639410901478,0.1295258051647399,0.7977814599567955,0.0619357297324723,46
20,0.1077884775011123,0.8353466379960299,0.1130636367904862,0.8262527652102284,0.06285458648687,46
30,0.0938657405729965,0.858392545478576,0.0995579259685742,0.8489528188510072,0.066780476510617,46
40,0.0886676368455783,0.8668397645155017,0.0960694573584453,0.8547052820674925,0.0676452671503559,46
50,0.0786250600641488,0.8829306749226996,0.0863475779546368,0.8705189225520733,0.0675783692259155,46
60,0.0770896539809378,0.8853650279034595,0.0860052338005697,0.8710600347447045,0.0697701844184129,46
70,0.0743034811723893,0.8897654492467137,0.0835991643653465,0.8749233036784116,0.0701557641367346,46
80,0.0696129471832378,0.897124823127521,0.078207180677805,0.8835366964682704,0.0711502637770102,46
90,0.0666509965792893,0.9017411410410788,0.0773124733390758,0.8849955595535712,0.0700838482463988,46
100,0.0660861252839761,0.9026188330544936,0.077380083432082,0.8849368108120241,0.0710397255549919,46
150,0.0585417418804279,0.9142604716601516,0.0733622968355013,0.8913115056689171,0.0731621471683281,46
200,0.0538014178735874,0.921499970531188,0.073908409374644,0.8907585367879772,0.0740218655760458,46
250,0.0506659327417087,0.9262574427983534,0.0743786694529483,0.8902266528350415,0.0746253321510941,46
300,0.047936766357159,0.9303786051143358,0.0751867641740358,0.8891150471583869,0.0753245674347455,46
2,0.1550234488735334,0.7520226427220387,0.1535654959044769,0.7538150668790067,0.0474383013387261,2
3,0.1502672970727652,0.7608341585952771,0.1491631890062333,0.7619817671343776,0.0523051698928699,2
4,0.1453525106378408,0.7698324391701346,0.1447305174559243,0.7701153594421829,0.0571967573877157,2
5,0.1411853097744628,0.7773804788152006,0.1400723303151216,0.7785867665471116,0.0559485701131003,2
6,0.1399531090834726,0.7795982970174603,0.1400543657192447,0.7786053876731187,0.0606218672522546,2
7,0.1388344969153365,0.7816063435979075,0.1393899054105389,0.7798320446097026,0.0620475390110685,2
8,0.1331281781496212,0.7917707872965387,0.1359744057695379,0.78597544593132,0.061678347829737,2
9,0.1342461401921628,0.7897896931748302,0.1346213160160743,0.7883674027745697,0.0606628005030839,2
10,0.1317992407170335,0.794119103454908,0.1340650762802566,0.7893712758044631,0.0590496092942641,2
20,0.1105521343453756,0.8307655488804324,0.113504993297901,0.8251906596336553,0.0647044412128474,2
30,0.0964111647053629,0.8542846283887112,0.0996583291972146,0.8484708218013094,0.0677830563654934,2
40,0.0872496637362617,0.8691822927335933,0.0926519548422948,0.8600354938185888,0.0678824233656803,2
50,0.0827638054538728,0.8763844638885583,0.0878354904605971,0.8678439746464071,0.067403719107531,2
60,0.0771377361196692,0.8853344618481046,0.0844292271568768,0.8733732270927224,0.0692880286884235,2
70,0.0715128171440473,0.8941930768576478,0.0792110030217449,0.8818076100054619,0.0708538163681925,2
80,0.0696517368329057,0.8971048116056386,0.0775472302206865,0.8843842214786204,0.0714305762293029,2
90,0.0673231108409495,0.9007347844551482,0.0768542824827526,0.885600088834664,0.0714980687516271,2
100,0.064862526360261,0.9045546303427112,0.0751475145084491,0.8882512549599784,0.071758163618231,2
150,0.0584013293100672,0.9145091305554552,0.0727487137713048,0.8921613686493203,0.0733734219857374,2
200,0.0548913631256652,0.9198716380376144,0.0729073863862056,0.8920789746356346,0.0737455628888362,2
250,0.0509133324889075,0.925911705944529,0.0733054180859116,0.8917970102532772,0.0750352876539553,2
300,0.0478090975005184,0.9305978092163216,0.0755244269094478,0.8886596225434522,0.0754139832921173,2
2,0.1531330732433562,0.7537782868280811,0.1589174259628218,0.751003497963834,0.0483464634465058,10
3,0.1473108143089742,0.7645913030170568,0.1533267065550467,0.7611272056080742,0.0520686740859414,10
4,0.1403022834678076,0.777407475715622,0.1463424735504332,0.7736073319307366,0.0551225876022023,10
5,0.1431536707918502,0.7722186596820216,0.1493440673353371,0.7682875486092258,0.0576758398873834,10
6,0.1372738184221051,0.7828807182243912,0.1441142813360041,0.7775417640440303,0.0587619754611932,10
7,0.1365880423448535,0.784114805697934,0.1419181040711133,0.7814516498774778,0.0589733579874919,10
8,0.132442623158346,0.7915337660360715,0.1384394706222727,0.7875343988660877,0.0580560013096612,10
9,0.1324716145276832,0.791482141179336,0.1381354757660822,0.78801932866459,0.0614242352074185,10
10,0.126888346944143,0.8013665639448753,0.1335977905082953,0.7959059696155024,0.0588790363582795,10
20,0.1066954327712914,0.8361399710004391,0.1135880396926503,0.829687578664133,0.0646802959340941,10
30,0.0949750371404241,0.8556753856268513,0.1040496209975594,0.8452842098884836,0.065098243823613,10
40,0.0873126809241282,0.8682092982342879,0.0967060642824232,0.8571317174833074,0.068030951914315,10
50,0.0807664535062836,0.8787758887262844,0.0910299371081192,0.8661959523546852,0.0694188815247658,10
60,0.0751204468504971,0.887788382980125,0.0856485481886046,0.8746822485774384,0.0691071614411964,10
70,0.0717180593431432,0.893175564043335,0.0840630292374031,0.8771660878897182,0.069132426340796,10
80,0.0684686398277356,0.8982903798350568,0.0815817089042782,0.8810687053723958,0.0698121885548226,10
90,0.066325312816912,0.9016482495702458,0.0791695071768947,0.8848077205229952,0.0710461132341834,10
100,0.0660605476057208,0.902062179249046,0.080772215346077,0.8823753001747443,0.070780961058564,10
150,0.0575956480401227,0.9151974119440426,0.0764400336930723,0.8891150250557869,0.0731251006650428,10
200,0.0535674214631163,0.9213823746737266,0.0769859465078984,0.8885933429418769,0.074116982298089,10
250,0.0502044764577622,0.926514237776884,0.076971719545058,0.8887984904137897,0.0750680573632169,10
300,0.0470015627634801,0.931375603234486,0.0779859012164057,0.887304836795809,0.0753219001722223,10
2,0.1544898676171988,0.752595932418884,0.1544772710031593,0.7537935390435099,0.0487833506977657,100
3,0.1493553497200561,0.7621101997970126,0.1503650213775251,0.7613833385782893,0.0524497727772798,100
4,0.1451622597424873,0.7697923963726223,0.1455276987115173,0.7702235338523178,0.0556094988148449,100
5,0.1449563176069822,0.7701675764855558,0.1452091019506426,0.7707920961571731,0.0558481905308748,100
6,0.1383062141849441,0.7821910884462095,0.1401415824781131,0.7799178832143766,0.0597127663841607,100
7,0.1417875729903579,0.7759201446428872,0.1428802074193128,0.7749980902766744,0.0592867309265969,100
8,0.1346874235959001,0.7886565266008401,0.1353071109306558,0.7885355234903222,0.0604819178259627,100
9,0.1299385832141108,0.7970618833685541,0.1318948528223863,0.7945657434191167,0.0625127490189177,100
10,0.1306572669721132,0.7957954690234279,0.1318438277475931,0.79465050156327,0.058999600210252,100
20,0.1069558360378368,0.8365477028647261,0.1106976311710342,0.8310216010532709,0.0656489180095627,100
30,0.0957857548769105,0.8550804695908152,0.10053807550342,0.8479426217867566,0.0658907714129976,100
40,0.085660787207757,0.8715388072953903,0.0921756464121291,0.861638145489198,0.067166426429707,100
50,0.0812300823859809,0.878644024907725,0.0881774945676655,0.8681786394856138,0.0681114463597161,100
60,0.0758368641295722,0.8872159913779539,0.082574192955243,0.8770823973468352,0.0687439702631194,100
70,0.0725765261346739,0.8923580312404591,0.0802689031488924,0.8807785210638867,0.0701776835260478,100
80,0.0700941111036373,0.8962533867426802,0.079284586821976,0.8824011472569167,0.0708007578699952,100
90,0.0679367544068372,0.8996249694376497,0.0776833380572802,0.8849365259152789,0.0716171201888008,100
100,0.0648759339052058,0.9043869466444888,0.0756036747988646,0.8882266574801009,0.0715738382131651,100
150,0.0586186106560507,0.9140447928253994,0.0726883194887292,0.892947585540513,0.0733988749929954,100
200,0.0539790320595722,0.921140364774087,0.0742206445101664,0.8907869308873192,0.0744211229415363,100
250,0.0504749597651368,0.9264633221316888,0.0740126701450472,0.8913308201717045,0.0745865798064238,100
300,0.0473054312705005,0.9312518750722416,0.0752879932164453,0.8896806052750201,0.0753171212552922,100
2,0.1532975226404244,0.7550490340475454,0.1536760196402972,0.7543498084859499,0.0478678929715952,80
3,0.1488636050806468,0.7632387053445784,0.1499116422848145,0.7613129164656621,0.0531410932634567,80
4,0.1450505202204803,0.7702121710668783,0.1468694176161573,0.766909685739497,0.0550998466615397,80
5,0.1440177189981584,0.7720899436300867,0.1446083563005096,0.7710154370178459,0.0574294991834035,80
6,0.1382529773931018,0.7824893774849254,0.1405949943152251,0.7783134788654162,0.0596318420806462,80
7,0.1341456267837228,0.7898150537659671,0.1366617183925929,0.7854022247124489,0.0623815749022044,80
8,0.132581162808039,0.7925877225710809,0.1342860961160403,0.7895690305516956,0.0605643816089301,80
9,0.1331641686821283,0.7915555327157944,0.1371252557106598,0.7845320258943536,0.0620152030608236,80
10,0.1259169417554382,0.8042910360272233,0.1294556172750382,0.7981156775299392,0.0623587853660486,80
20,0.1118446140587823,0.8284610834865206,0.1161952350526548,0.8210969848730431,0.0665396384713215,80
30,0.0951208863925839,0.8562984714484427,0.1015147948606616,0.8457836368693177,0.0637843378905857,80
40,0.088799414027908,0.8665879752021364,0.096585111497286,0.853899957594559,0.0679524174738329,80
50,0.0819338462723345,0.877626473087523,0.0904585846072216,0.8639843880791156,0.0682693110444068,80
60,0.0764796859868779,0.886297713707976,0.0869330028286874,0.8697251531228769,0.0676831734612884,80
70,0.0734167604136207,0.8911302815397328,0.0828608392869205,0.8762038892681403,0.0697363522004373,80
80,0.0687328918898046,0.8984700448732185,0.0793643351036474,0.881805268910923,0.069785859233142,80
90,0.0676411710577809,0.9001722009363845,0.0785048105865876,0.883172587076848,0.0711913920152707,80
100,0.065479630542797,0.9035329132826764,0.0783797894378936,0.8834375932629932,0.071403392147144,80
150,0.0587014874172116,0.9139912790700092,0.0749101845791068,0.8889854816153063,0.0734690349930138,80
200,0.0543246184049466,0.9206814661223236,0.0752790878309596,0.8887091022936615,0.0745528352696837,80
250,0.0499580499619309,0.9273078129102668,0.074183401147166,0.8905154687514836,0.0749082684178596,80
300,0.0475174492913033,0.9309909215774466,0.0759446821828246,0.8880159571769315,0.075614402458763,80
2,0.1547629683992723,0.7530485059064986,0.1535962947301458,0.7516075284579964,0.0487438876615848,20
3,0.1500680914629316,0.7617183452184906,0.1495845775882435,0.7591564324440796,0.053781621488452,20
4,0.1472508175936986,0.766873567662717,0.1481332638427996,0.7618955718315163,0.0546074599858218,20
5,0.1430590389034723,0.7744807219958285,0.1428561239133984,0.7715862228207944,0.0583501683822464,20
6,0.1411192540613539,0.77797614669675,0.1408123683446701,0.7753351104347395,0.0557399663694744,20
7,0.1412985817489358,0.7776535218960066,0.1405258943512747,0.775870136965563,0.0605686353140406,20
8,0.1352709334083325,0.7884200999167894,0.1347186037775986,0.7863946481615844,0.0613197906544042,20
9,0.1271168589654363,0.8027550301666955,0.1276737666461009,0.7989562814244661,0.0629918160407324,20
10,0.1306185299753867,0.7966306394574127,0.1319380626912825,0.7914384237223817,0.0631331482701704,20
20,0.1091926345836222,0.8333997771749565,0.1107999897691446,0.8284310931563084,0.0647986798387738,20
30,0.0981821458762028,0.8516776124676626,0.1028344209559077,0.8419626829475327,0.0664918018720989,20
40,0.0867116650674143,0.8703109357347567,0.0909030169148215,0.8617304463644078,0.0684248094749033,20
50,0.0821793068377448,0.8775645255243908,0.0883960876397883,0.8659442050211534,0.0682352699767104,20
60,0.0757483531528361,0.8877549383557817,0.0815054886521235,0.8770929983143954,0.0701524995913594,20
70,0.0732206752695533,0.8917283842219722,0.0791837108203812,0.8808644555064942,0.0701682331218187,20
80,0.0698550820459512,0.8969916954777954,0.0776987838768459,0.8832162818407765,0.0705131959977689,20
90,0.0671422504009118,0.9012118026247634,0.0762893418330436,0.8855868058906258,0.0700725569527697,20
100,0.0657432995945101,0.903380321379076,0.0742948820765401,0.8887341913317972,0.0718984519406361,20
150,0.05862721953353,0.9143313640109076,0.0722817590477151,0.8920907600139351,0.0734115501478318,20
200,0.0543487569960583,0.9208528673673206,0.0721417862278389,0.8925114054157586,0.0741354846821451,20
250,0.050955494921424,0.9259924344532792,0.0739224952134694,0.8899446638608375,0.0750956047080625,20
300,0.047836835455961,0.9306910483554942,0.0749952747533424,0.8886543171035737,0.0755839774181353,20
2,0.1547468390177988,0.7528457555423108,0.1504880052484727,0.7583395906169321,0.048260515344143,60
3,0.1519805237093502,0.7579704999805457,0.1486725632024086,0.761710255046465,0.0478862834605455,60
4,0.1480372132176694,0.7652189970010368,0.1446822457876286,0.7690727425236248,0.0559271640004456,60
5,0.1443599949420029,0.7719156177121012,0.141026650622118,0.7757709340398178,0.057421183221195,60
6,0.1411494185108172,0.7777157266978205,0.1373090462402311,0.7824875331232537,0.0575631981121295,60
7,0.1388447858909845,0.7818527952274616,0.1369623132772189,0.783128353755052,0.0593693857094884,60
8,0.1375393279445115,0.7841865063684773,0.1350477704186207,0.7865564351775179,0.0612920784149559,60
9,0.1377065663647178,0.7838879353499053,0.1342131177788947,0.7880544689701587,0.0589823306709837,60
10,0.1373430812482489,0.7845367542487611,0.1340818367580534,0.7882937196192961,0.062316403146552,60
20,0.1095754669223586,0.8326075715943843,0.1089973459639748,0.832012040041385,0.0643694162611758,60
30,0.0969557788534456,0.853560283271118,0.0978715160818197,0.8507148673793139,0.066324161489186,60
40,0.0860798243018265,0.8712136199765186,0.0878400724983032,0.8671750588036059,0.06798063941734,60
50,0.0811456807859478,0.8791056000460394,0.0838845637708234,0.8736288840145557,0.0689809194479052,60
60,0.078553218446365,0.8832238935051219,0.0825811829389716,0.8757599139812317,0.0703248311768114,60
70,0.0745769214472176,0.8895034471206591,0.0792968532227903,0.8811011957543928,0.0696103940202831,60
80,0.0708051094770948,0.8954193713166372,0.0766954696831223,0.8852562884262338,0.0709379397501292,60
90,0.0680807096897108,0.8996682792480244,0.0747346839784742,0.8883660705246601,0.0708211232343799,60
100,0.0658263560460034,0.9031689981512792,0.0733462349457386,0.8906104679728424,0.0713477795442356,60
150,0.0595266737532067,0.912880423096187,0.0706766124193583,0.8949708614665934,0.0730783682875988,60
200,0.0547992329992079,0.92010080294051,0.0708596333127001,0.8949838471408202,0.0741536485885362,60
250,0.0512982901950152,0.9254116034265673,0.0729435955629392,0.8920480330415781,0.0747522049217738,60
300,0.04816974907233139,0.9301318283988913,0.07234824682162701,0.8930945956324094,0.07544034718262871,60
